"","ID","Player","Color","Move","Eval","isInnovation","Advantage","Result","Comment"
"60",5,"Carlsen, Magnus","B","30... Be2?! ","-0.97",0,"B","1/2-1/2"," Inaccuracy. Ba6 was best. } (30... Ba6 31. Bxf7+ Kh8 32. Rg3 Rh6 33. Bd5 Rxb4 34. axb4 Bb7 35. Rdg2 Bxd5 36. exd5 Rh7 37. Kb1)"
"61",5,"Grandelius, Nils","W","31. Bxf7+ ","-0.8",0,"B","1/2-1/2",NA
"62",5,"Carlsen, Magnus","B","31... Kxf7 ","-1.06",0,"B","1/2-1/2",NA
"63",5,"Grandelius, Nils","W","32. Qa4 ","-1.0",0,"B","1/2-1/2",NA
"64",5,"Carlsen, Magnus","B","32... Qb7 ","-1.17",0,"B","1/2-1/2",NA
"65",5,"Grandelius, Nils","W","33. Qb4 ","-1.19",0,"B","1/2-1/2",NA
"66",5,"Carlsen, Magnus","B","33... Qc7 ","-0.96",0,"B","1/2-1/2",NA
"67",5,"Grandelius, Nils","W","34. Qa4 ","-1.11",0,"B","1/2-1/2",NA
"68",5,"Carlsen, Magnus","B","34... Bb5? ","0.0",0,"W","1/2-1/2"," Mistake. Bc4 was best. } (34... Bc4)"
"69",5,"Grandelius, Nils","W","35. Rdg2 ","-0.08",0,"B","1/2-1/2",NA
"70",5,"Carlsen, Magnus","B","35... Rh7 ","0.0",0,"W","1/2-1/2",NA
"71",5,"Grandelius, Nils","W","36. Qb3+ ","0.29",0,"W","1/2-1/2",NA
"72",5,"Carlsen, Magnus","B","36... Bc4 ","0.0",0,"W","1/2-1/2",NA
"73",5,"Grandelius, Nils","W","37. Qg3 ","0.0",0,"W","1/2-1/2",NA
"74",5,"Carlsen, Magnus","B","37... Qb6 ","0.0",0,"W","1/2-1/2",NA
"75",5,"Grandelius, Nils","W","38. Qg6+ ","0.0",0,"W","1/2-1/2",NA
"76",5,"Carlsen, Magnus","B","38... Qxg6 ","0.06",0,"W","1/2-1/2",NA
"77",5,"Grandelius, Nils","W","39. Rxg6 ","0.0",0,"W","1/2-1/2",NA
"78",5,"Carlsen, Magnus","B","39... Rc8 ","0.0",0,"W","1/2-1/2",NA
"79",5,"Grandelius, Nils","W","40. R6g5? ","-1.04",0,"B","1/2-1/2"," Mistake. Kb1 was best. } (40. Kb1 Rxh2 41. Rxg7+ Ke8 42. R7g5 Kd7 43. Rxe5 d3 44. cxd3 Rb8 45. dxc4 Rbxb2+ 46. Ka1 Ra2+)"
"80",5,"Carlsen, Magnus","B","40... Bd3 ","-0.89",0,"B","1/2-1/2",NA
"81",5,"Grandelius, Nils","W","41. Rf5+ ","-0.92",0,"B","1/2-1/2",NA
"82",5,"Carlsen, Magnus","B","41... Kg8 ","-1.03",0,"B","1/2-1/2",NA
"83",5,"Grandelius, Nils","W","42. Rf2 ","-0.87",0,"B","1/2-1/2",NA
"84",5,"Carlsen, Magnus","B","42... Rh6 ","-0.87",0,"B","1/2-1/2",NA
"85",5,"Grandelius, Nils","W","43. Rd1 ","-1.35",0,"B","1/2-1/2",NA
"86",5,"Carlsen, Magnus","B","43... Bxe4?! ","-0.55",0,"B","1/2-1/2"," Inaccuracy. Rf6 was best. } (43... Rf6 44. Rxf6)"
"87",5,"Grandelius, Nils","W","44. Re1 ","-0.62",0,"B","1/2-1/2",NA
"88",5,"Carlsen, Magnus","B","44... Rh4 ","-0.59",0,"B","1/2-1/2",NA
"89",5,"Grandelius, Nils","W","45. a4 ","-0.94",0,"B","1/2-1/2",NA
"90",5,"Carlsen, Magnus","B","45... Rc5?! ","0.0",0,"W","1/2-1/2"," Inaccuracy. Rc4 was best. } (45... Rc4 46. a5 d3 47. Bxe5 Rh5 48. Bc3 dxc2 49. Rd2 Rb5 50. Rxe4 Rxe4 51. Kxc2 Re7 52. Rd8+)"
"91",5,"Grandelius, Nils","W","46. Ba3 ","0.0",0,"W","1/2-1/2",NA
"92",5,"Carlsen, Magnus","B","46... Rc8 ","0.06",0,"W","1/2-1/2",NA
"93",5,"Grandelius, Nils","W","47. Be7 ","0.07",0,"W","1/2-1/2",NA
"94",5,"Carlsen, Magnus","B","47... Rg4 ","0.11",0,"W","1/2-1/2",NA
"95",5,"Grandelius, Nils","W","48. h3 ","0.09",0,"W","1/2-1/2",NA
"96",5,"Carlsen, Magnus","B","48... Rg2 ","0.16",0,"W","1/2-1/2",NA
"97",5,"Grandelius, Nils","W","49. Rxg2 ","0.02",0,"W","1/2-1/2",NA
"98",5,"Carlsen, Magnus","B","49... Bxg2 ","0.1",0,"W","1/2-1/2",NA
"99",5,"Grandelius, Nils","W","50. Rxe5 ","0.18",0,"W","1/2-1/2",NA
"100",5,"Carlsen, Magnus","B","50... d3 ","0.07",0,"W","1/2-1/2",NA
"101",5,"Grandelius, Nils","W","51. Bc5 ","0.09",0,"W","1/2-1/2",NA
"102",5,"Carlsen, Magnus","B","51... Ra8 ","0.08",0,"W","1/2-1/2",NA
"103",5,"Grandelius, Nils","W","52. cxd3 ","0.11",0,"W","1/2-1/2",NA
"104",5,"Carlsen, Magnus","B","52... Rxa4 ","0.31",0,"W","1/2-1/2",NA
"105",5,"Grandelius, Nils","W","53. Kd2 ","0.16",0,"W","1/2-1/2",NA
"106",5,"Carlsen, Magnus","B","53... Bxh3 ","0.07",0,"W","1/2-1/2",NA
"107",5,"Grandelius, Nils","W","54. Re4 ","0.0",0,"W","1/2-1/2",NA
