"","GAME_ID","matchups","white","black","source_files"
"1",1,"Andrey, Esipenko - Carlsen, Magnus","Andrey, Esipenko","Carlsen, Magnus","tata-steel-2022-magnus-carlsen-andrey-esipenko.txt"
"2",2,"Carlsen, Magnus - Giri, Anish","Carlsen, Magnus","Giri, Anish","tata-steel-2022-magnus-carlsen-giri-anish.txt"
"3",3,"Jan-Krzysztof, Duda - Carlsen, Magnus","Jan-Krzysztof, Duda","Carlsen, Magnus","tata-steel-2022-jankrzysztof-duda-magnus-carlsen.txt"
"4",4,"Carlsen, Magnus - Van Foreest, Jorden","Carlsen, Magnus","Van Foreest, Jorden","tata-steel-2022-magnus-carlsen-vanforeest-jorden.txt"
"5",5,"Grandelius, Nils - Carlsen, Magnus","Grandelius, Nils","Carlsen, Magnus","tata-steel-2022-grandelius-nils-magnus-carlsen.txt"
"6",6,"Carlsen, Magnus - Rapport, Richard","Carlsen, Magnus","Rapport, Richard","tata-steel-2022-magnus-carlsen-richard-rapport.txt"
"7",7,"Praggnanandhaa, R - Carlsen, Magnus","Praggnanandhaa, R","Carlsen, Magnus","tata-steel-2022-praggnanandhaa-r-magnus-carlsen.txt"
"8",8,"Shankland, Sam - Carlsen, Magnus","Shankland, Sam","Carlsen, Magnus","tata-steel-2022-sam-shankland-magnus-carlsen.txt"
